Date,Min Temp,Max Temp,U Max,Peak
1402\01/01,14,22,81,654.798038
1402\01/02,12,20,86,651.349172
1402\01/03,11,24,90,694.578218
1402\01/04,13,26,90,713.348506
1402\01/05,17,29,90,771.677222
1402\01/06,16,21,91,702.760086
1402\01/07,16,25,79,694.892501
1402\01/08,14,25,96,757.846478
1402\01/09,14,28,86,779.16065
1402\01/10,16,30,83,834.498009
1402\01/11,10,26,84,770.935509
1402\01/12,8,21,54,673.703699
1402\01/13,9,23,48,650.997089
1402\01/14,12,26,59,724.294861
1402\01/15,14,29,71,785.446972
1402\01/16,16,33,71,887.329569
1402\01/17,17,34,67,971.657148
1402\01/18,16,34,59,984.050263
1402\01/19,18,34,50,1078.203476
1402\01/20,18,37,52,1228.706548
1402\01/21,21,38,57,1380.478279
1402\01/22,22,36,71,1372.593308
1402\01/23,20,31,91,1181.828962
1402\01/24,16,24,81,801.758054
1402\01/25,15,27,88,816.806351
1402\01/26,14,28,56,894.138366
1402\01/27,15,28,64,862.789733
1402\01/28,17,32,70,1051.198033
1402\01/29,18,34,76,1278.413672
1402\01/30,18,36,54,1385.349824
1402\01/31,19,36,59,1423.841219
1402/02/01,22,37,68,1420.675031
1402/02/02,22,37,57,1506.222923
1402/02/03,23,39,61,1566.824336
1402/02/04,24,40,54,1800.38028
1402/02/05,20,36,58,1669.174486
1402/02/06,20,36,43,1698.383044
1402/02/07,21,37,35,1668.65104
1402/02/08,22,38,45,1629.598693
1402/02/09,21,39,47,1885.731642
1402/02/10,23,40,55,1873.512787
1402/02/11,22,37,30,1802.676234
1402/02/12,20,35,30,1570.957648
1402/02/13,20,36,34,1581.702456
1402/02/14,21,35,23,1401.185337
1402/02/15,17,37,37,1430.185206
1402/02/16,20,38,47,1723.704879
1402/02/17,21,40,42,1830.619114
1402/02/18,21,40,37,1915.092027
1402/02/19,24,39,35,1835.551334
1402/02/20,24,39,45,1854.510322
1402/02/21,24,40,45,1843.950757
1402/02/22,25,43,33,1925.276587
1402/02/23,26,45,40,2277.718544
1402/02/24,27,38,35,2059.018459
1402/02/25,23,38,40,1997.828547
1402/02/26,20,37,42,1854.525783
1402/02/27,21,39,38,1941.484308
1402/02/28,24,41,41,1938.514239
1402/02/29,25,40,43,1887.192526
1402/02/30,26,40,42,2068.741631
1402/02/31,27,40,47,2069.007596
1402/03/01,26,41,56,2203.111196
1402/03/02,26,43,42,2251.531397
1402/03/03,27,44,31,2219.585251
1402/03/04,30,41,32,2175.911709
1402/03/05,27,42,35,2148.788569
1402/03/06,28,42,32,2315.55695
1402/03/07,28,44,25,2363.228494
1402/03/08,29,45,30,2458.628166
1402/03/09,29,42,38,2405.893233
1402/03/10,32,41,32,2383.123644
1402/03/11,30,40,23,2221.314936
1402/03/12,26,43,27,2159.541314
1402/03/13,30,44,24,2378.599452
1402/03/14,29,47,24,2326.877709
1402/03/15,30,45,34,2393.973659
1402/03/16,30,43,29,2430.673764
1402/03/17,28,43,32,2455.536351
1402/03/18,28,45,38,2469.738531
1402/03/19,29,45,38,2406.197708
1402/03/20,28,45,33,2551.54491
1402/03/21,31,47,23,2601.891424
1402/03/22,31,47,27,2666.102528
1402/03/23,31,46,44,2649.870398
1402/03/24,31,44,25,2593.888707
1402/03/25,32,45,22,2559.427774
1402/03/26,31,43,25,2452.886957
1402/03/27,29,43,36,2556.406028
1402/03/28,28,46,26,2614.854752
1402/03/29,30,45,25,2549.905142
1402/03/30,28,45,24,2535.785407
1402/03/31,28,43,24,2489.133283
1402/04/01,27,45,34,2460.652923
1402/04/02,28,46,31,2468.220956
1402/04/03,29,47,22,2637.831499
1402/04/04,33,45,19,2651.850049
1402/04/05,27,47,30,2662.677304
1402/04/06,30,46,24,2715.414297
1402/04/07,29,46,36,2639.71975
1402/04/08,30,47,20,2574.271192
1402/04/09,30,46,28,2538.452262
1402/04/10,30,45,24,2663.893137
1402/04/11,31,46,22,2686.428605
1402/04/12,27,47,27,2694.280375
1402/04/13,29,47,26,2666.616838
1402/04/14,30,49,30,2693.182404
1402/04/15,30,49,24,2720.06086
1402/04/16,31,49,34,2694.951211
1402/04/17,31,50,42,2826.151171
1402/04/18,33,48,20,2801.413529
1402/04/19,30,47,31,2782.775259
1402/04/20,30,47,29,2820.199336
1402/04/21,32,47,22,2807.160863
1402/04/22,31,48,21,2711.936013
1402/04/23,31,50,21,2717.272672
1402/04/24,31,49,57,2850.766283
1402/04/25,29,48,50,2842.835691
1402/04/26,29,48,20,2823.577983
1402/04/27,30,48,21,2839.806051
1402/04/28,29,47,27,2836.720924
1402/04/29,30,48,20,2771.697042
1402/04/30,30,49,22,2734.226092
1402/04/31,30,49,21,2827.562749
1402/05/01,31,49,24,2800.058228
1402/05/02,31,48,23,2822.033166
1402/05/03,29,48,25,2796.417409
1402/05/04,29,48,32,2819
1402/05/05,31,48,24,2780
